IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.17,,,0.15,,0.2,0.2 [0.2 - 0.2],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.19,,,0.16,,0.22,0.2 [0.2 - 0.2],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.22,,,0.19,,0.25,0.2 [0.2 - 0.3],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.28,,,0.25,,0.32,0.3 [0.2 - 0.3],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,AFR,Africa,Country,COM,Comoros,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.31,,,0.28,,0.35,0.3 [0.3 - 0.3],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.32,,,0.26,,0.37,0.3 [0.3 - 0.4],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.33,,,0.29,,0.37,0.3 [0.3 - 0.4],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.39,,,0.34,,0.43,0.4 [0.3 - 0.4],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.38,,,0.33,,0.44,0.4 [0.3 - 0.4],,,EN,2024-06-20T07:00:00.000Z
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.38,,,0.33,,0.42,0.4 [0.3 - 0.4],,,EN,2024-06-20T07:00:00.000Z
